ENST00000362091	CCDS7072.1
ENST00000362092	CCDS7184.1
ENST00000362093	CCDS10806.1
ENST00000362094	CCDS5016.1
ENST00000362095	CCDS14777.1
ENST00000362096	CCDS14784.1
ENST00000362097	CCDS14326.1
ENST00000000412	CCDS8598.1
ENST00000001008	CCDS8512.1
ENST00000001146	CCDS1919.1
ENST00000001380	CCDS305.1
ENST00000001567	CCDS1385.1
ENST00000001585	CCDS13434.1
ENST00000002125	CCDS1788.1
ENST00000002165	CCDS5200.1
ENST00000002594	CCDS14119.1
ENST00000002596	CCDS3408.1
ENST00000002829	CCDS2811.1
ENST00000003084	CCDS5773.1
ENST00000003100	CCDS5623.1
ENST00000003583	CCDS253.1
ENST00000003603	CCDS14470.1
ENST00000003616	CCDS14469.1
ENST00000003834	CCDS11230.1
ENST00000004103	CCDS5909.1
ENST00000004672	CCDS1286.1
ENST00000004921	CCDS11306.1
ENST00000004982	CCDS12475.1
ENST00000005113	CCDS14129.1
ENST00000005178	CCDS5643.1
ENST00000005180	CCDS5578.1
ENST00000005226	CCDS7825.1
ENST00000005257	CCDS5460.1
ENST00000005284	CCDS10620.1
ENST00000005286	CCDS7997.1
ENST00000005340	CCDS11091.1
ENST00000005386	CCDS8753.1
ENST00000005545	CCDS14215.1
ENST00000005593	CCDS14578.1
ENST00000005756	CCDS2207.1
ENST00000005924	CCDS8511.1
ENST00000005995	CCDS10478.1
ENST00000006015	CCDS5411.1
ENST00000006053	CCDS10779.1
ENST00000006251	CCDS14059.1
ENST00000006275	CCDS12655.1
ENST00000006342	CCDS450.1
ENST00000006658	CCDS11571.1
ENST00000006724	CCDS12583.1
ENST00000006750	CCDS11655.1
ENST00000006941	CCDS625.1
ENST00000007264	CCDS10426.1
ENST00000007390	CCDS10435.1
ENST00000007414	CCDS11515.1
ENST00000007516	CCDS10614.1
ENST00000007699	CCDS11098.1
ENST00000007708	CCDS11559.1
ENST00000007722	CCDS11557.1
ENST00000007735	CCDS11388.1
ENST00000007752	CCDS14600.1
ENST00000007797	CCDS598.1
ENST00000007969	CCDS8569.1
ENST00000008311	CCDS10497.1
ENST00000008391	CCDS4933.1
ENST00000008527	CCDS9112.1
ENST00000008553	CCDS1292.1
ENST00000008938	CCDS12680.1
ENST00000009041	CCDS5455.1
ENST00000009105	CCDS1486.1
ENST00000009180	CCDS8540.1
ENST00000009589	CCDS6163.1
ENST00000010132	CCDS8530.1
ENST00000010338	CCDS1490.1
ENST00000010404	CCDS8677.1
ENST00000011292	CCDS5820.1
ENST00000011473	CCDS5736.1
ENST00000011619	CCDS4529.1
ENST00000011652	CCDS5197.1
ENST00000011653	CCDS8562.1
ENST00000011684	CCDS8541.1
ENST00000011691	CCDS2701.1
ENST00000011898	CCDS8520.1
ENST00000011989	CCDS12332.1
ENST00000012049	CCDS12672.1
ENST00000012407	CCDS14320.1
ENST00000012443	CCDS12684.1
ENST00000013034	CCDS11579.1
ENST00000013070	CCDS9909.1
ENST00000013222	CCDS5430.1
ENST00000013807	CCDS12663.1
ENST00000013894	CCDS2711.1
ENST00000013916	CCDS1295.1
ENST00000014761	CCDS4998.1
ENST00000014914	CCDS8657.1
ENST00000014935	CCDS14747.1
ENST00000016171	CCDS7482.1
ENST00000016913	CCDS7988.1
ENST00000016946	CCDS2082.1
ENST00000017003	CCDS11563.1
ENST00000019019	CCDS14295.1
ENST00000019103	CCDS2127.1
ENST00000019317	CCDS11845.1
ENST00000020945	CCDS6146.1
ENST00000021508	CCDS7642.1
ENST00000021665	CCDS392.1
ENST00000021763	CCDS6097.1
ENST00000022615	CCDS6131.1
ENST00000023064	CCDS12425.1
ENST00000023165	CCDS8627.1
ENST00000023897	CCDS4357.1
ENST00000023939	CCDS13453.1
ENST00000025035	CCDS2847.1
ENST00000025176	CCDS1380.1
ENST00000025301	CCDS9383.1
ENST00000025399	CCDS8676.1
ENST00000026218	CCDS10411.1
ENST00000026952	CCDS13268.1
ENST00000027335	CCDS6260.1
ENST00000027474	CCDS5061.1
ENST00000027478	CCDS352.1
ENST00000028585	CCDS9303.1
ENST00000029410	CCDS4429.1
ENST00000029439	CCDS5185.1
ENST00000029627	CCDS1159.1
